id_manufacturer,cocoa_percent,ingredients,review_date,rating
60,75%,"3- B,S,C",2006,3.75
60,75%,"3- B,S,C",2006,3.75
60,75%,"3- B,S,C",2006,4
60,75%,"3- B,S,C",2006,4
60,75%,"3- B,S,C",2007,2.5
60,75%,"3- B,S,C",2008,4
60,75%,"3- B,S,C",2009,2.75
60,75%,"3- B,S,C",2009,3
60,75%,"3- B,S,C",2009,3
60,75%,"3- B,S,C",2009,3
60,75%,"3- B,S,C",2011,3.25
60,75%,"3- B,S,C",2011,3.5
60,75%,"3- B,S,C",2011,3.5
60,75%,"3- B,S,C",2011,3.5
60,75%,"3- B,S,C",2011,3.5
60,75%,"3- B,S,C",2011,3.75
60,75%,"3- B,S,C",2011,4
60,75%,"3- B,S,C",2011,4
60,75%,"3- B,S,C",2013,3.25
60,75%,"3- B,S,C",2013,3.5
60,75%,"3- B,S,C",2014,3.25
60,65%,"3- B,S,C",2014,3.75
60,75%,"3- B,S,C",2014,4
60,75%,"3- B,S,C",2016,3.5
60,75%,"3- B,S,C",2018,4
60,75%,"3- B,S,C",2018,4
60,75%,"3- B,S,C",2021,3.75
61,100%,NA,2009,1.5
61,77%,"2- B,S",2009,3.25
62,70%,NA,2014,2.75
62,70%,NA,2014,2.75
63,75%,"3- B,S,C",2018,3.5
63,70%,"3- B,S,C",2018,3.75
63,70%,"3- B,S,C",2018,4
63,62%,"3- B,S,C",2021,3
64,72%,"5- B,S,C,V,L",2013,3
64,70%,"5- B,S,C,V,L",2013,3.25
64,75%,"5- B,S,C,V,L",2013,3.5
64,85%,"5- B,S,C,V,L",2013,3.5
64,70%,"3- B,S,C",2014,3.75
64,70%,"3- B,S,C",2014,4
64,68%,"3- B,S,C",2015,3.75
64,70%,"3- B,S,C",2016,3.5
64,70%,"3- B,S,C",2016,3.75
64,70%,"3- B,S,C",2017,3.25
64,75%,"3- B,S,C",2017,3.75
65,80%,"3- B,S,C",2015,2.75
65,60%,"3- B,S,C",2015,3
65,80%,"3- B,S,C",2015,3.25
65,80%,"3- B,S,C",2015,3.25
65,60%,"3- B,S,C",2015,3.25
65,70%,"2- B,S",2015,3.5
66,70%,"4- B,S,C,V",2013,3
67,68%,"3- B,S,C",2014,2.75
67,72%,"3- B,S,C",2014,3
67,70%,"3- B,S,C",2014,3.5
67,72%,"3- B,S,C",2014,3.5
68,70%,"2- B,S",2015,3.25
69,68%,"3- B,S,C",2013,2.75
70,70%,"3- B,S,C",2018,2.5
70,70%,"3- B,S,C",2018,3
71,60%,"3- B,S,C",2014,2.5
71,72%,"3- B,S,C",2014,3.25
71,72%,"3- B,S,C",2014,3.25
71,72%,"3- B,S,C",2014,3.25
71,72%,"3- B,S,C",2014,3.5
72,70%,"2- B,S",2019,3
74,70%,"2- B,S*",2019,3.25
74,70%,"2- B,S*",2019,3.5
75,70%,"4- B,S,C,L",2019,3
75,70%,"4- B,S,C,L",2019,3.5
75,70%,"4- B,S,C,L",2019,3.75
76,70%,"2- B,S",2015,2.5
77,75%,"2- B,S",2010,2.25
77,75%,"2- B,S",2010,2.5
77,75%,"2- B,S",2010,2.75
77,75%,"2- B,S",2014,2.5
78,72%,"5- B,S,C,V,L",2007,2
78,66%,"5- B,S,C,V,L",2007,3
78,75%,"5- B,S,C,V,L",2008,2
78,70%,"5- B,S,C,V,L",2010,3
78,65%,"5- B,S,C,V,L",2016,3.5
79,72%,"2- B,S",2018,2.5
79,72%,"2- B,S",2018,3
79,72%,"2- B,S",2018,3.75
80,75%,"2- B,S",2014,2.5
80,74%,"2- B,S",2014,3.25
80,75%,"2- B,S",2014,3.5
80,70%,"2- B,S",2014,3.75
80,74%,"2- B,S",2015,3.25
80,75%,"2- B,S",2015,3.25
80,77%,"2- B,S",2015,3.5
80,75%,"2- B,S",2018,2.75
80,75%,"2- B,S",2019,2.5
80,70%,"2- B,S",2019,3
81,70%,"2- B,S",2018,3
82,69%,"4- B,S,C,L",2014,2.75
82,70%,"4- B,S,C,L",2014,3.25
82,64%,"4- B,S,C,L",2014,3.5
82,70%,"4- B,S,C,L",2014,3.5
82,72%,"3- B,S,C",2015,3.75
82,71%,"3- B,S,C",2016,3.75
82,74%,"3- B,S,C",2016,3.75
83,70%,"4- B,S,C,L",2016,3.5
84,72%,"2- B,S",2011,3
84,65%,"2- B,S",2011,3.25
84,66%,"2- B,S",2011,3.75
84,72%,"2- B,S",2012,3.75
85,70%,"4- B,S,C,L",2009,4
85,70%,"4- B,S,C,L",2009,4
85,71%,"4- B,S,C,L",2010,3.25
85,71%,"4- B,S,C,L",2010,3.5
85,71%,"4- B,S,C,L",2010,3.5
85,77%,"4- B,S,C,L",2010,3.5
85,71%,"4- B,S,C,L",2010,3.75
85,71%,"4- B,S,C,L",2010,4
85,70%,"4- B,S,C,L",2016,3.5
86,72%,"4- B,S,C,V",2020,2.75
86,72%,"4- B,S,C,V",2020,2.75
86,72%,"4- B,S,C,V",2020,3
87,70%,"2- B,S",2015,3
87,70%,"2- B,S",2015,3.25
87,70%,"2- B,S",2015,3.5
88,70%,NA,2018,3
88,70%,NA,2018,3.25
88,70%,NA,2018,3.5
89,70%,"2- B,S",2021,3.5
89,70%,"2- B,S",2021,3.5
89,80%,"2- B,S",2021,3.5
89,70%,"2- B,S",2021,4
90,91%,"4- B,S,C,L",2008,1.5
90,82%,"4- B,S,C,L",2008,2.5
90,63%,"4- B,S,C,L",2008,3.5
90,71%,"4- B,S,C,L",2008,3.5
91,70%,NA,2007,1
91,60%,NA,2008,2.75
73,78%,"2- B,S",2011,2.25
73,70%,"2- B,S",2011,2.5
73,80%,"2- B,S",2012,3
73,100%,1- B,2013,3.5
73,75%,"2- B,S",2014,2.5
73,72%,"2- B,S",2014,3
73,70%,"2- B,S",2014,3.5
92,75%,"3- B,S,C",2016,2.5
92,73%,"3- B,S,C",2016,2.75
92,70%,"3- B,S,C",2016,3
92,75%,"3- B,S,C",2016,3
92,70%,"3- B,S,C",2016,3.25
93,70%,"4- B,S,C,L",2021,3.25
93,70%,"4- B,S,C,L",2021,3.25
93,70%,"4- B,S,C,L",2021,3.5
93,70%,"4- B,S,C,L",2021,3.75
94,77%,"4- B,S,C,L",2008,2
94,77%,"4- B,S,C,L",2008,2.5
94,77%,"4- B,S,C,L",2008,2.75
94,55%,"4- B,S,C,L",2008,3
94,55%,"4- B,S,C,L",2008,3.25
94,55%,"4- B,S,C,L",2008,3.5
95,70%,"3- B,S,C",2014,3.5
95,70%,"3- B,S,C",2014,3.75
96,70%,"3- B,S,C",2021,3
96,70%,"3- B,S,C",2021,3.25
96,70%,"3- B,S,C",2021,3.25
96,70%,"3- B,S,C",2021,3.25
97,80%,"2- B,S",2012,2.75
97,72%,"2- B,S",2012,3
97,72%,"2- B,S",2015,3.25
97,72%,"3- B,S,C",2015,3.5
97,72%,"2- B,S",2015,3.5
98,65%,"3- B,S,C",2016,3
98,65%,"3- B,S,C",2016,3.25
98,65%,"3- B,S,C",2016,3.25
98,65%,"3- B,S,C",2016,3.5
98,65%,"3- B,S,C",2016,3.5
99,75%,"2- B,S",2018,2
100,71%,"2- B,S",2019,3
100,65%,"2- B,S",2019,3.25
101,70%,"3- B,S,C",2013,2.5
101,70%,"3- B,S,C",2013,2.75
101,70%,"3- B,S,C",2013,3
101,72%,"3- B,S,C",2013,3
101,70%,"3- B,S,C",2013,3.25
101,72%,"3- B,S,C",2013,3.25
101,73%,"2- B,S",2013,3.5
101,70%,"3- B,S,C",2014,2.75
101,72%,"3- B,S,C",2014,3.5
101,76%,"3- B,S,C",2014,3.5
101,72%,"3- B,S,C",2015,3.5
101,72%,"3- B,S,C",2015,3.5
101,70%,"3- B,S,C",2015,3.75
101,72%,"3- B,S,C",2016,4
101,70%,"2- B,S",2017,3.25
101,70%,"3- B,S,C",2019,3.5
101,70%,"3- B,S,C",2019,3.75
101,70%,"3- B,S,C",2021,4
101,72%,"3- B,S,C",2021,4
102,70%,"3- B,S,C",2014,2.5
102,70%,"3- B,S,C",2014,2.75
102,70%,"3- B,S,C",2014,2.75
102,70%,"3- B,S,C",2014,3
103,72%,NA,2009,2.75
104,70%,"3- B,S,C",2014,2.75
104,70%,"3- B,S,C",2021,3
104,70%,"3- B,S,C",2021,3
104,72%,"3- B,S,C",2021,3.25
105,74%,"2- B,S",2017,3
105,68%,"3- B,S,C",2018,3.5
106,70%,"3- B,S,C",2016,3.25
107,75%,"3- B,S,C",2008,3
107,55%,"3- B,S,C",2010,2.75
108,70%,"3- B,S,C",2014,3.5
108,72%,"3- B,S,C",2018,3
108,72%,"3- B,S,C",2019,3.5
108,83%,"3- B,S,C",2021,3.25
108,69%,"3- B,S,C",2021,3.25
109,70%,NA,2011,3.5
110,70%,"3- B,S,C",2015,3.25
111,75%,"2- B,S",2014,3
111,82%,"2- B,S",2014,3.25
112,70%,"2- B,S",2015,2.75
112,70%,"2- B,S",2015,3.5
113,72%,"3- B,S,C",2019,2.5
113,71%,"3- B,S,C",2019,3.25
115,65%,"2- B,S",2015,2.5
