id_manufacturer,company_manufacturer,company_location
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
66,Breeze Mill,U.S.A.
67,Bright,Australia
67,Bright,Australia
67,Bright,Australia
67,Bright,Australia
68,Britarev,Russia
69,Bronx Grrl Chocolate,U.S.A.
70,Bullion,U.K.
70,Bullion,U.K.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
72,By Cacao,South Korea
74,Cacai Cacao,Taiwan
74,Cacai Cacao,Taiwan
75,Cacao 70,Canada
75,Cacao 70,Canada
75,Cacao 70,Canada
76,Cacao Arabuco,Puerto Rico
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
79,Cacao Betulia,Switzerland
79,Cacao Betulia,Switzerland
79,Cacao Betulia,Switzerland
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
81,Cacao Gonzales,U.S.A.
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
82,Cacao Hunters,Colombia
83,Cacao Market,U.S.A.
84,Cacao Prieto,U.S.A.
84,Cacao Prieto,U.S.A.
84,Cacao Prieto,U.S.A.
84,Cacao Prieto,U.S.A.
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
85,Cacao Sampaka,Spain
86,Cacao Santa Fe (Art of Chocolate),U.S.A.
86,Cacao Santa Fe (Art of Chocolate),U.S.A.
86,Cacao Santa Fe (Art of Chocolate),U.S.A.
87,Cacao Store,Japan
87,Cacao Store,Japan
87,Cacao Store,Japan
88,Cacaodada,South Korea
88,Cacaodada,South Korea
88,Cacaodada,South Korea
89,Cacaosuyo,Peru
89,Cacaosuyo,Peru
89,Cacaosuyo,Peru
89,Cacaosuyo,Peru
90,Cacaoyere (Ecuatoriana),Ecuador
90,Cacaoyere (Ecuatoriana),Ecuador
90,Cacaoyere (Ecuatoriana),Ecuador
90,Cacaoyere (Ecuatoriana),Ecuador
91,Callebaut,Belgium
91,Callebaut,Belgium
73,C-Amaro,Italy
73,C-Amaro,Italy
73,C-Amaro,Italy
73,C-Amaro,Italy
73,C-Amaro,Italy
73,C-Amaro,Italy
73,C-Amaro,Italy
92,Cao,U.S.A.
92,Cao,U.S.A.
92,Cao,U.S.A.
92,Cao,U.S.A.
92,Cao,U.S.A.
93,Caofiori,Colombia
93,Caofiori,Colombia
93,Caofiori,Colombia
93,Caofiori,Colombia
94,Caoni (Tulicorp),Ecuador
94,Caoni (Tulicorp),Ecuador
94,Caoni (Tulicorp),Ecuador
94,Caoni (Tulicorp),Ecuador
94,Caoni (Tulicorp),Ecuador
94,Caoni (Tulicorp),Ecuador
95,Captain Pembleton,New Zealand
95,Captain Pembleton,New Zealand
96,CAR Artisan,U.S.A.
96,CAR Artisan,U.S.A.
96,CAR Artisan,U.S.A.
96,CAR Artisan,U.S.A.
97,Caribeans,Costa Rica
97,Caribeans,Costa Rica
97,Caribeans,Costa Rica
97,Caribeans,Costa Rica
97,Caribeans,Costa Rica
98,Carlotta Chocolat,Colombia
98,Carlotta Chocolat,Colombia
98,Carlotta Chocolat,Colombia
98,Carlotta Chocolat,Colombia
98,Carlotta Chocolat,Colombia
99,Casa,U.S.A.
100,Casa Lasevicius,Brazil
100,Casa Lasevicius,Brazil
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
101,Castronovo,U.S.A.
102,Cello,U.S.A.
102,Cello,U.S.A.
102,Cello,U.S.A.
102,Cello,U.S.A.
103,Cemoi,France
104,Chaleur B,Canada
104,Chaleur B,Canada
104,Chaleur B,Canada
104,Chaleur B,Canada
105,Chapon,France
105,Chapon,France
106,Charm School,U.S.A.
107,Chchukululu (Tulicorp),Ecuador
107,Chchukululu (Tulicorp),Ecuador
108,Chequessett,U.S.A.
108,Chequessett,U.S.A.
108,Chequessett,U.S.A.
108,Chequessett,U.S.A.
108,Chequessett,U.S.A.
109,Chloe Chocolat,France
110,Chocablog,U.K.
111,Choco Del Sol,Germany
111,Choco Del Sol,Germany
112,Choco Dong,South Korea
112,Choco Dong,South Korea
113,Chococard (Lapos),Hungary
113,Chococard (Lapos),Hungary
115,Chocolarder,U.K.
115,Chocolarder,U.K.
115,Chocolarder,U.K.
115,Chocolarder,U.K.
114,Chocola'te,U.S.A.
114,Chocola'te,U.S.A.
116,Chocolate Alchemist-Philly,U.S.A.
116,Chocolate Alchemist-Philly,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
117,Chocolate Con Amor,U.S.A.
118,Chocolate Conspiracy,U.S.A.
119,Chocolate Makers,Amsterdam
119,Chocolate Makers,Amsterdam
119,Chocolate Makers,Amsterdam
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
120,Chocolate Tree,Scotland
121,Chocolates by Josh (Box Chocolate),U.S.A.
122,Chocolatoa,Belgium
123,Chocolats Privilege,Canada
124,Chocolibrium,U.S.A.
124,Chocolibrium,U.S.A.
124,Chocolibrium,U.S.A.
125,ChocoReko,Japan
126,Chocosol,Canada
126,Chocosol,Canada
127,Chocotenango,U.S.A.
127,Chocotenango,U.S.A.
127,Chocotenango,U.S.A.
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
128,Chocovic,Spain
129,Chocovivo,U.S.A.
129,Chocovivo,U.S.A.
130,Choklat,Canada
130,Choklat,Canada
130,Choklat,Canada
130,Choklat,Canada
130,Choklat,Canada
131,Chokola,U.S.A.
131,Chokola,U.S.A.
131,Chokola,U.S.A.
131,Chokola,U.S.A.
131,Chokola,U.S.A.
131,Chokola,U.S.A.
132,Chokolat Elot (Girard),Martinique
133,Christophe Toury,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
134,Christopher Elbow,U.S.A.
135,Christopher Morel (Felchlin),Canada
136,Chuao Chocolatier,U.S.A.
137,Chuao Chocolatier (Pralus),U.S.A.
138,Claudio Corallo,Sao Tome
138,Claudio Corallo,Sao Tome
138,Claudio Corallo,Sao Tome
138,Claudio Corallo,Sao Tome
139,Cleveland Chocolate Company,U.S.A.
139,Cleveland Chocolate Company,U.S.A.
140,Cloudforest,U.S.A.
141,Coco,Canada
142,Cocoa Carib,St. Lucia
143,Cocoa Forge,U.S.A.
143,Cocoa Forge,U.S.A.
143,Cocoa Forge,U.S.A.
144,Compania de Chocolate (Salgado),Argentina
144,Compania de Chocolate (Salgado),Argentina
144,Compania de Chocolate (Salgado),Argentina
144,Compania de Chocolate (Salgado),Argentina
144,Compania de Chocolate (Salgado),Argentina
145,Condor,U.S.A.
146,Confluence,U.S.A.
147,Conjure,U.S.A.
147,Conjure,U.S.A.
147,Conjure,U.S.A.
147,Conjure,U.S.A.
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
148,Coppeneur,Germany
149,Cote d' Or (Kraft),Belgium
150,Cravve,Australia
150,Cravve,Australia
150,Cravve,Australia
150,Cravve,Australia
150,Cravve,Australia
150,Cravve,Australia
150,Cravve,Australia
151,Creo,U.S.A.
151,Creo,U.S.A.
152,Crow and Moss,U.S.A.
152,Crow and Moss,U.S.A.
152,Crow and Moss,U.S.A.
152,Crow and Moss,U.S.A.
152,Crow and Moss,U.S.A.
153,Cultura,U.S.A.
153,Cultura,U.S.A.
153,Cultura,U.S.A.
153,Cultura,U.S.A.
154,Cuna de Piedra,Mexico
155,Daintree,Australia
155,Daintree,Australia
156,Dalloway,U.S.A.
157,Damson,U.K.
157,Damson,U.K.
157,Damson,U.K.
157,Damson,U.K.
157,Damson,U.K.
158,Dancing Lion,U.S.A.
158,Dancing Lion,U.S.A.
158,Dancing Lion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
159,Dandelion,U.S.A.
160,Dandelion (aka Brower Ave),U.S.A.
160,Dandelion (aka Brower Ave),U.S.A.
160,Dandelion (aka Brower Ave),U.S.A.
161,Dandelion (Japan),U.S.A.
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
162,Danta,Guatemala
163,DAR,U.S.A.
163,DAR,U.S.A.
163,DAR,U.S.A.
164,Darcis,Belgium
164,Darcis,Belgium
165,Dark Forest,U.S.A.
165,Dark Forest,U.S.A.
165,Dark Forest,U.S.A.
165,Dark Forest,U.S.A.
165,Dark Forest,U.S.A.
166,Davis,U.S.A.
166,Davis,U.S.A.
166,Davis,U.S.A.
166,Davis,U.S.A.
167,De Mendes,Brazil
167,De Mendes,Brazil
168,De Villiers,South Africa
168,De Villiers,South Africa
169,Dean and Deluca (Belcolade),U.S.A.
169,Dean and Deluca (Belcolade),U.S.A.
169,Dean and Deluca (Belcolade),U.S.A.
169,Dean and Deluca (Belcolade),U.S.A.
169,Dean and Deluca (Belcolade),U.S.A.
169,Dean and Deluca (Belcolade),U.S.A.
170,Debauve & Gallais (Michel Cluizel),France
170,Debauve & Gallais (Michel Cluizel),France
171,Definite,Dominican Republic
171,Definite,Dominican Republic
171,Definite,Dominican Republic
172,Desbarres,Canada
172,Desbarres,Canada
173,DeVries,U.S.A.
173,DeVries,U.S.A.
173,DeVries,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
174,Dick Taylor,U.S.A.
175,Diogo Vaz,Sao Tome & Principe
175,Diogo Vaz,Sao Tome & Principe
175,Diogo Vaz,Sao Tome & Principe
175,Diogo Vaz,Sao Tome & Principe
176,Doble & Bignall,U.K.
176,Doble & Bignall,U.K.
176,Doble & Bignall,U.K.
176,Doble & Bignall,U.K.
177,Dole (Guittard),U.S.A.
178,Dolfin (Belcolade),Belgium
178,Dolfin (Belcolade),Belgium
179,Domori,Italy
179,Domori,Italy
179,Domori,Italy
179,Domori,Italy
179,Domori,Italy
179,Domori,Italy
179,Domori,Italy
